"senkId","senkNm","pref_turnout","pref_votes","pref_voteShare","khId","name_kanji","name_kana","partyId","hirei","cand_exp","partyNm_short","partyNm","elected","muncode","mun_name","mun_turnout","votes","mun_voteShare"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01225","滝川市","56.73","4244","23.9"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01226","砂川市","63.92","1791","21.3"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01227","歌志内市","63.04","384","26.7"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01228","深川市","60.69","2329","24.3"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01229","富良野市","58.24","2356","25.0"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01230","登別市","55.65","4815","23.4"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01231","恵庭市","61.76","8995","25.1"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01233","伊達市","58.36","3529","23.2"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01234","北広島市","61.95","5966","20.3"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01235","石狩市","58.07","5234","19.3"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01236","北斗市","55.08","5383","27.2"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01423","南幌町","65.39","1132","26.1"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01424","奈井江町","65.37","630","23.6"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01425","上砂川町","61.51","367","29.3"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01427","由仁町","72.44","804","29.0"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01428","長沼町","64.55","1437","26.8"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01429","栗山町","64.08","1470","25.3"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01430","月形町","69.94","531","32.8"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01431","浦臼町","68.74","234","25.9"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01432","新十津川町","69.08","1038","29.1"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01433","妹背牛町","68.69","471","31.1"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01434","秩父別町","71.71","404","30.4"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01436","雨竜町","71.83","343","27.6"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01437","北竜町","78.43","238","22.2"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01438","沼田町","71.13","550","32.2"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01303","当別町","63.61","2339","28.3"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01304","新篠津村","68.31","381","23.6"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01391","島牧村","71.09","234","30.1"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01392","寿都町","64.06","463","32.9"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01393","黒松内町","71.57","360","25.1"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01394","蘭越町","71.76","702","27.1"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01395","ニセコ町","68.73","516","20.5"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01396","真狩村","74.41","320","27.8"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01397","留寿都村","63.70","274","31.8"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01398","喜茂別町","68.25","316","29.2"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01399","京極町","72.66","433","26.9"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01400","倶知安町","64.91","1591","21.8"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01401","共和町","65.21","790","26.8"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01402","岩内町","60.98","1784","31.8"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01403","泊村","72.99","305","35.0"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01404","神恵内村","77.83","143","28.4"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01405","積丹町","64.19","322","35.5"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01406","古平町","56.89","451","36.4"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01407","仁木町","64.34","428","27.3"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01408","余市町","56.37","2059","25.5"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01409","赤井川村","71.94","137","24.1"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01571","豊浦町","61.06","503","29.3"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01575","壮瞥町","64.23","339","28.0"
"55136","北海道","59.69","546118","21.5",288,"高橋　はるみ","たかはし　はるみ",1,NA,"現","自民","自由民主党","1","01578","白老町","58.79","2327","31.0"
